txn_id,customer_id,txn_date,category,amount
78,67,2024-01-26 16:00,Books,84.36
79,9,2024-01-27 00:00,Books,122.69
80,63,2024-01-27 08:00,Books,403.67
81,85,2024-01-27 16:00,Clothing,232.26
82,58,2024-01-28 00:00,Books,270.1
83,49,2024-01-28 08:00,Food,159.99
84,75,2024-01-28 16:00,Clothing,152.92
85,33,2024-01-29 00:00,Electronics,278.98
86,67,2024-01-29 08:00,Books,374.17
87,23,2024-01-29 16:00,Electronics,94.44
88,68,2024-01-30 00:00,Electronics,220.15
89,42,2024-01-30 08:00,Books,323.82
90,29,2024-01-30 16:00,Home,480.25
91,54,2024-01-31 00:00,Home,138.35
92,80,2024-01-31 08:00,Home,199.47
93,46,2024-01-31 16:00,Clothing,286.8
94,103,2024-02-01 00:00,Home,75.24
95,74,2024-02-01 08:00,Books,307.73
96,106,2024-02-01 16:00,Food,487.36
97,42,2024-02-02 00:00,Electronics,140.34
98,37,2024-02-02 08:00,Electronics,242.89
99,41,2024-02-02 16:00,Books,63.23
100,13,2024-02-03 00:00,Clothing,261.44
101,99,2024-02-03 08:00,Electronics,485.93
102,37,2024-02-03 16:00,Books,273.48
103,87,2024-02-04 00:00,Electronics,110.68
104,70,2024-02-04 08:00,Food,158.82
105,60,2024-02-04 16:00,Food,315.07
106,80,2024-02-05 00:00,Clothing,429.23
107,4,2024-02-05 08:00,Food,229.45
108,38,2024-02-05 16:00,Clothing,247.61
109,87,2024-02-06 00:00,Home,405.63
110,47,2024-02-06 08:00,Clothing,57.12
111,15,2024-02-06 16:00,Books,475.87
112,101,2024-02-07 00:00,Electronics,235.06
113,20,2024-02-07 08:00,Books,169.17
114,51,2024-02-07 16:00,Home,390.38
115,109,2024-02-08 00:00,Electronics,131.95
116,38,2024-02-08 08:00,Food,77.49
117,58,2024-02-08 16:00,Home,132.77
118,88,2024-02-09 00:00,Clothing,337.9
119,70,2024-02-09 08:00,Clothing,54.83
120,89,2024-02-09 16:00,Clothing,228.4
121,12,2024-02-10 00:00,Home,121.6
122,27,2024-02-10 08:00,Food,275.11
123,35,2024-02-10 16:00,Clothing,73.45
124,81,2024-02-11 00:00,Home,388.11
125,42,2024-02-11 08:00,Food,462.34
126,84,2024-02-11 16:00,Books,163.08
127,35,2024-02-12 00:00,Electronics,180.47
128,64,2024-02-12 08:00,Electronics,301.05
129,75,2024-02-12 16:00,Electronics,370.72
130,69,2024-02-13 00:00,Electronics,33.85
131,68,2024-02-13 08:00,Clothing,339.02
132,5,2024-02-13 16:00,Food,408.05
133,105,2024-02-14 00:00,Food,397.3
134,8,2024-02-14 08:00,Books,222.11
135,107,2024-02-14 16:00,Electronics,412.27
136,59,2024-02-15 00:00,Clothing,275.8
137,3,2024-02-15 08:00,Books,97.43
138,40,2024-02-15 16:00,Electronics,146.44
139,57,2024-02-16 00:00,Books,298.4
140,75,2024-02-16 08:00,Clothing,278.48
141,73,2024-02-16 16:00,Clothing,402.07
142,94,2024-02-17 00:00,Books,358.87
143,5,2024-02-17 08:00,Electronics,110.46
144,1,2024-02-17 16:00,Home,201.71
145,53,2024-02-18 00:00,Home,390.15
146,88,2024-02-18 08:00,Home,231.77
147,21,2024-02-18 16:00,Electronics,116.39
148,94,2024-02-19 00:00,Home,468.86
149,32,2024-02-19 08:00,Books,227.29
150,50,2024-02-19 16:00,Clothing,157.82
151,107,2024-02-20 00:00,Electronics,258.07
152,23,2024-02-20 08:00,Clothing,153.95
153,31,2024-02-20 16:00,Food,138.84
154,65,2024-02-21 00:00,Food,332.46
155,35,2024-02-21 08:00,Books,398.64
156,85,2024-02-21 16:00,Electronics,207.37
157,80,2024-02-22 00:00,Clothing,84.67
158,21,2024-02-22 08:00,Home,240.52
159,18,2024-02-22 16:00,Electronics,203.79
160,11,2024-02-23 00:00,Books,220.68
161,1,2024-02-23 08:00,Food,123.74
162,1,2024-02-23 16:00,Home,385.95
163,99,2024-02-24 00:00,Clothing,105.1
164,36,2024-02-24 08:00,Electronics,24.13
165,29,2024-02-24 16:00,Books,351.56
166,42,2024-02-25 00:00,Home,372.54
167,36,2024-02-25 08:00,Clothing,123.19
168,86,2024-02-25 16:00,Clothing,90.84
169,103,2024-02-26 00:00,Electronics,292.36
170,46,2024-02-26 08:00,Electronics,460.22
171,89,2024-02-26 16:00,Clothing,130.72
172,61,2024-02-27 00:00,Books,272.3
173,87,2024-02-27 08:00,Books,135.87
174,88,2024-02-27 16:00,Books,372.12
175,93,2024-02-28 00:00,Home,236.21
176,12,2024-02-28 08:00,Electronics,192.58
177,12,2024-02-28 16:00,Books,329.79
178,23,2024-02-29 00:00,Clothing,268.05
179,29,2024-02-29 08:00,Books,104.57
180,37,2024-02-29 16:00,Food,211.03
181,67,2024-03-01 00:00,Clothing,478.46
182,94,2024-03-01 08:00,Electronics,401.56
183,104,2024-03-01 16:00,Books,258.49
184,106,2024-03-02 00:00,Electronics,331.93
185,55,2024-03-02 08:00,Electronics,75.47
186,43,2024-03-02 16:00,Electronics,209.53
187,9,2024-03-03 00:00,Food,447.93
188,39,2024-03-03 08:00,Food,98.12
189,91,2024-03-03 16:00,Food,491.05
190,18,2024-03-04 00:00,Clothing,424.81
191,17,2024-03-04 08:00,Electronics,344.63
192,72,2024-03-04 16:00,Home,189.94
193,57,2024-03-05 00:00,Electronics,50.58
194,5,2024-03-05 08:00,Food,150.87
195,47,2024-03-05 16:00,Electronics,371.79
196,68,2024-03-06 00:00,Clothing,213.7
197,88,2024-03-06 08:00,Clothing,402.43
198,47,2024-03-06 16:00,Electronics,111.82
199,29,2024-03-07 00:00,Books,412.75
200,45,2024-03-07 08:00,Home,430.76
201,37,2024-03-07 16:00,Home,362.49
202,32,2024-03-08 00:00,Books,105.99
203,49,2024-03-08 08:00,Home,115.33
204,41,2024-03-08 16:00,Books,36.83
205,22,2024-03-09 00:00,Clothing,30.39
206,60,2024-03-09 08:00,Electronics,370.84
207,65,2024-03-09 16:00,Books,248.3
208,29,2024-03-10 00:00,Clothing,381.95
209,8,2024-03-10 08:00,Food,144.96
210,44,2024-03-10 16:00,Electronics,175.91
211,91,2024-03-11 00:00,Electronics,447.88
212,6,2024-03-11 08:00,Books,498.7
213,77,2024-03-11 16:00,Books,55.37
214,66,2024-03-12 00:00,Electronics,390.73
215,86,2024-03-12 08:00,Electronics,280.29
216,90,2024-03-12 16:00,Books,7.25
217,53,2024-03-13 00:00,Books,310.19
218,90,2024-03-13 08:00,Home,143.56
219,22,2024-03-13 16:00,Electronics,178.53
220,103,2024-03-14 00:00,Clothing,484.79
221,108,2024-03-14 08:00,Clothing,372.63
222,38,2024-03-14 16:00,Books,31.99
223,26,2024-03-15 00:00,Food,342.08
224,69,2024-03-15 08:00,Clothing,11.43
225,30,2024-03-15 16:00,Food,443.67
226,23,2024-03-16 00:00,Clothing,300.36
227,33,2024-03-16 08:00,Electronics,317.26
228,64,2024-03-16 16:00,Electronics,13.14
229,87,2024-03-17 00:00,Food,46.47
230,99,2024-03-17 08:00,Electronics,265.45
231,11,2024-03-17 16:00,Food,193.96
232,78,2024-03-18 00:00,Books,410.06
233,36,2024-03-18 08:00,Clothing,145.57
234,34,2024-03-18 16:00,Food,202.83
235,39,2024-03-19 00:00,Clothing,64.4
236,104,2024-03-19 08:00,Clothing,253.92
237,81,2024-03-19 16:00,Clothing,477.74
238,69,2024-03-20 00:00,Books,136.62
239,24,2024-03-20 08:00,Clothing,396.46
240,1,2024-03-20 16:00,Books,86.16
241,83,2024-03-21 00:00,Clothing,443.52
242,74,2024-03-21 08:00,Clothing,258.75
243,7,2024-03-21 16:00,Electronics,67.28
244,18,2024-03-22 00:00,Home,392.43
245,3,2024-03-22 08:00,Electronics,444.36
246,15,2024-03-22 16:00,Electronics,76.81
247,47,2024-03-23 00:00,Electronics,63.12
248,67,2024-03-23 08:00,Books,129.44
249,32,2024-03-23 16:00,Books,259.9
250,9,2024-03-24 00:00,Clothing,475.3
251,78,2024-03-24 08:00,Electronics,431.0
252,93,2024-03-24 16:00,Books,165.69
253,42,2024-03-25 00:00,Food,23.44
254,27,2024-03-25 08:00,Clothing,299.88
255,104,2024-03-25 16:00,Books,289.51
256,19,2024-03-26 00:00,Clothing,124.56
257,85,2024-03-26 08:00,Clothing,303.76
258,24,2024-03-26 16:00,Electronics,490.89
259,56,2024-03-27 00:00,Food,76.47
260,29,2024-03-27 08:00,Home,160.83
261,93,2024-03-27 16:00,Books,424.73
262,80,2024-03-28 00:00,Electronics,83.79
263,46,2024-03-28 08:00,Food,68.74
264,98,2024-03-28 16:00,Electronics,90.15
265,65,2024-03-29 00:00,Books,386.0
266,2,2024-03-29 08:00,Electronics,68.08
267,25,2024-03-29 16:00,Home,50.11
268,104,2024-03-30 00:00,Home,315.34
269,59,2024-03-30 08:00,Electronics,384.58
270,37,2024-03-30 16:00,Clothing,379.39
271,43,2024-03-31 00:00,Home,219.39
272,48,2024-03-31 08:00,Home,458.72
273,87,2024-03-31 16:00,Food,79.68
274,44,2024-04-01 00:00,Food,223.55
275,2,2024-04-01 08:00,Home,187.8
276,85,2024-04-01 16:00,Books,275.36
277,73,2024-04-02 00:00,Books,100.66
278,88,2024-04-02 08:00,Home,77.83
279,47,2024-04-02 16:00,Clothing,491.76
280,52,2024-04-03 00:00,Electronics,154.55
281,28,2024-04-03 08:00,Electronics,252.35
282,36,2024-04-03 16:00,Food,458.55
283,79,2024-04-04 00:00,Home,154.81
284,23,2024-04-04 08:00,Clothing,186.47
285,90,2024-04-04 16:00,Books,283.76
286,62,2024-04-05 00:00,Food,38.69
287,56,2024-04-05 08:00,Electronics,16.57
288,26,2024-04-05 16:00,Home,318.22
289,31,2024-04-06 00:00,Clothing,188.59
290,107,2024-04-06 08:00,Books,44.35
291,77,2024-04-06 16:00,Food,146.89
292,58,2024-04-07 00:00,Food,348.26
293,47,2024-04-07 08:00,Books,381.01
294,88,2024-04-07 16:00,Books,255.17
295,103,2024-04-08 00:00,Food,114.28
296,60,2024-04-08 08:00,Home,420.55
297,89,2024-04-08 16:00,Books,107.81
298,87,2024-04-09 00:00,Electronics,379.67
299,28,2024-04-09 08:00,Home,80.85
300,3,2024-04-09 16:00,Food,467.75
301,51,2024-04-10 00:00,Food,387.82
302,19,2024-04-10 08:00,Electronics,253.11
303,108,2024-04-10 16:00,Clothing,219.91
304,102,2024-04-11 00:00,Home,288.62
305,18,2024-04-11 08:00,Home,332.25
306,53,2024-04-11 16:00,Electronics,281.15
307,82,2024-04-12 00:00,Clothing,349.43
308,5,2024-04-12 08:00,Food,48.4
309,90,2024-04-12 16:00,Books,211.5
310,94,2024-04-13 00:00,Home,377.97
311,76,2024-04-13 08:00,Clothing,221.98
312,102,2024-04-13 16:00,Books,485.48
313,96,2024-04-14 00:00,Books,269.32
314,59,2024-04-14 08:00,Food,158.92
315,4,2024-04-14 16:00,Books,446.58
316,31,2024-04-15 00:00,Home,214.0
317,78,2024-04-15 08:00,Books,275.36
318,70,2024-04-15 16:00,Food,322.48
319,104,2024-04-16 00:00,Electronics,428.72
320,63,2024-04-16 08:00,Clothing,108.67
321,1,2024-04-16 16:00,Clothing,437.53
322,107,2024-04-17 00:00,Books,289.0
323,109,2024-04-17 08:00,Home,186.39
324,80,2024-04-17 16:00,Home,170.95
325,61,2024-04-18 00:00,Home,490.98
326,101,2024-04-18 08:00,Home,473.8
327,45,2024-04-18 16:00,Electronics,275.07
328,14,2024-04-19 00:00,Clothing,176.45
329,97,2024-04-19 08:00,Home,487.07
330,56,2024-04-19 16:00,Home,13.09
331,97,2024-04-20 00:00,Books,29.22
332,55,2024-04-20 08:00,Home,245.87
333,76,2024-04-20 16:00,Home,295.56
334,108,2024-04-21 00:00,Home,8.24
335,66,2024-04-21 08:00,Clothing,97.81
336,97,2024-04-21 16:00,Electronics,47.67
337,104,2024-04-22 00:00,Electronics,128.65
338,7,2024-04-22 08:00,Electronics,95.52
339,49,2024-04-22 16:00,Home,66.52
340,4,2024-04-23 00:00,Clothing,69.08
341,39,2024-04-23 08:00,Electronics,188.84
342,56,2024-04-23 16:00,Home,68.73
343,95,2024-04-24 00:00,Electronics,387.84
344,5,2024-04-24 08:00,Clothing,204.38
345,92,2024-04-24 16:00,Food,62.83
346,105,2024-04-25 00:00,Food,327.42
347,31,2024-04-25 08:00,Food,395.15
348,27,2024-04-25 16:00,Home,183.03
349,47,2024-04-26 00:00,Electronics,8.04
350,56,2024-04-26 08:00,Clothing,326.83
351,42,2024-04-26 16:00,Clothing,378.23
352,55,2024-04-27 00:00,Electronics,445.2
353,27,2024-04-27 08:00,Electronics,358.01
354,92,2024-04-27 16:00,Clothing,300.44
355,90,2024-04-28 00:00,Food,174.83
356,64,2024-04-28 08:00,Electronics,125.7
357,67,2024-04-28 16:00,Electronics,37.11
358,22,2024-04-29 00:00,Food,410.56
359,109,2024-04-29 08:00,Electronics,282.35
360,85,2024-04-29 16:00,Food,147.51
361,75,2024-04-30 00:00,Home,66.7
362,98,2024-04-30 08:00,Electronics,147.74
363,38,2024-04-30 16:00,Home,380.1
364,45,2024-05-01 00:00,Food,111.82
365,50,2024-05-01 08:00,Books,30.79
366,83,2024-05-01 16:00,Clothing,193.12
367,46,2024-05-02 00:00,Clothing,171.23
368,82,2024-05-02 08:00,Electronics,350.03
369,56,2024-05-02 16:00,Food,280.22
370,18,2024-05-03 00:00,Books,238.99
371,99,2024-05-03 08:00,Food,488.16
372,73,2024-05-03 16:00,Home,422.84
373,78,2024-05-04 00:00,Food,68.44
374,63,2024-05-04 08:00,Clothing,127.96
375,48,2024-05-04 16:00,Books,212.59
376,70,2024-05-05 00:00,Clothing,40.4
377,23,2024-05-05 08:00,Books,380.28
378,41,2024-05-05 16:00,Food,385.25
379,52,2024-05-06 00:00,Clothing,149.75
380,83,2024-05-06 08:00,Food,453.15
381,66,2024-05-06 16:00,Food,278.48
382,46,2024-05-07 00:00,Clothing,115.69
383,54,2024-05-07 08:00,Electronics,312.64
384,33,2024-05-07 16:00,Home,337.92
385,53,2024-05-08 00:00,Home,360.19
386,72,2024-05-08 08:00,Clothing,485.82
387,5,2024-05-08 16:00,Home,457.25
388,30,2024-05-09 00:00,Food,209.57
389,77,2024-05-09 08:00,Books,218.75
390,101,2024-05-09 16:00,Food,16.61
391,1,2024-05-10 00:00,Electronics,211.66
392,102,2024-05-10 08:00,Books,92.69
393,3,2024-05-10 16:00,Electronics,64.48
394,48,2024-05-11 00:00,Home,408.84
395,86,2024-05-11 08:00,Food,15.8
396,23,2024-05-11 16:00,Food,68.88
397,74,2024-05-12 00:00,Clothing,333.86
398,95,2024-05-12 08:00,Electronics,285.76
399,87,2024-05-12 16:00,Electronics,217.37
400,54,2024-05-13 00:00,Food,404.75
